foia,request_date,due_dat,execute_dat,delta_days,compliant
12-0342 , 2012-01-31 , 2012-02-07 , 2012-01-31 , 0 , True
12-0343 , 2012-01-31 , 2012-02-07 , 2012-01-31 , 0 , True
12-0344 , 2012-01-31 , 2012-02-07 , 2012-01-31 , 0 , True
12-0345 , 2012-01-31 , 2012-02-07 , 2012-01-31 , 0 , True
12-0346 , 2012-01-31 , 2012-02-07 , 2012-01-31 , 0 , True
12-0347 , 2012-01-31 , 2012-02-07 , 2012-01-31 , 0 , True
12-0348 , 2012-02-02 , 2012-02-09 , 2012-02-02 , 0 , True
12-0349 , 2012-01-31 , 2012-02-07 , 2012-01-31 , 0 , True
12-0350 , 2012-01-31 , 2012-02-07 , 2012-02-03 , 3 , True
12-0351 , 2012-01-31 , 2012-02-07 , 2012-01-31 , 0 , True
12-0352 , 2012-01-31 , 2012-02-07 , 2012-02-03 , 3 , True
12-0353 , 2012-01-31 , 2012-02-07 , 2012-01-31 , 0 , True
12-0354 , 2012-01-31 , 2012-02-07 , 2012-02-01 , 1 , True
12-0355 , 2012-02-01 , 2012-02-08 , 2012-02-01 , 0 , True
12-0356 , 2012-02-01 , 2012-02-08 , 2012-02-12 , 11 , False
12-0357 , 2012-02-01 , 2012-02-08 , 2012-02-01 , 0 , True
12-0358 , 2012-02-01 , 2012-02-08 , 2012-02-02 , 1 , True
12-0359 , 2012-02-01 , 2012-02-08 , 2012-02-01 , 0 , True
